City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
504,aketi,2.7388,23.7833,23.04,82,82,45,CD,1686087719
505,calama,-22.4667,-68.9333,22.27,4,4,0,CL,1686087719
506,iaciara,-14.0958,-46.6317,22.38,33,33,11,BR,1686087720
507,mareeba,-17.0,145.4333,20.24,90,90,99,AU,1686087720
508,porangatu,-13.4408,-49.1486,25.21,39,39,77,BR,1686087440
509,jiaozhou,36.2839,120.0033,19.98,63,63,80,CN,1686087720
510,fonte boa,-2.4959,-66.2662,24.79,95,95,27,BR,1686087720
511,puerto lempira,15.2667,-83.7667,30.08,70,70,40,HN,1686087720
512,ha'il,27.5219,41.6907,27.01,34,34,0,SA,1686087550
513,trairi,-3.2778,-39.2689,24.83,86,86,6,BR,1686087720
514,kibre mengist,5.8833,38.9833,15.17,96,96,88,ET,1686087720
515,siwa oasis,29.2041,25.5195,28.08,33,33,37,EG,1686087720
516,montella,40.8437,15.0179,17.77,94,94,100,IT,1686087721
517,codrington,-38.2667,141.9667,15.37,71,71,100,AU,1686087721
518,prince george,53.9166,-122.753,21.81,23,23,0,CA,1686087631
519,tengrela,10.4869,-6.4097,27.84,58,58,74,CI,1686087721
520,wagar,16.1525,36.2032,31.68,39,39,35,SD,1686087721
521,ravar,31.2656,56.8055,28.42,25,25,80,IR,1686087721
522,roma,43.2128,-75.4557,20.21,57,57,100,US,1686087720
523,port augusta,-32.5,137.7667,17.22,92,92,57,AU,1686087721
524,garissa,-0.4536,39.6401,24.15,78,78,13,KE,1686087721
525,khash,28.2211,61.2158,26.33,26,26,61,IR,1686087721
526,puerto baquerizo moreno,-0.9,-89.6,25.51,79,79,64,EC,1686087722
527,samaro,25.2815,69.3965,29.46,71,71,0,PK,1686087722
528,formosa,-26.1775,-58.1781,25.99,75,75,0,AR,1686087490
529,geraldton,-28.7667,114.6,12.23,82,82,40,AU,1686087605
530,korla,41.7597,86.1469,24.32,24,24,17,CN,1686087722
531,pelabuhanratu,-6.9875,106.5514,25.16,91,91,100,ID,1686087722
532,yelovo,57.0538,54.9207,10.22,80,80,100,RU,1686087722
533,yekaterinovka,52.0508,44.3451,11.09,78,78,37,RU,1686087723
534,ust-tsilma,65.441,52.1498,3.85,82,82,55,RU,1686087723
535,opatija,45.3392,14.3083,17.87,92,92,28,HR,1686087723
536,filadelfia,39.9523,-75.1638,27.14,52,52,100,US,1686087603
537,kearney,40.6995,-99.0815,30.19,40,40,0,US,1686087704
538,walvis bay,-22.9575,14.5053,13.94,82,82,0,NA,1686087723
539,sansanne-mango,10.3592,0.4708,28.86,67,67,98,TG,1686087723
540,port saint john's,-31.6229,29.5448,16.44,61,61,0,ZA,1686087725
541,ghat,24.9647,10.1728,30.52,20,20,30,LY,1686087725
542,helena,46.5927,-112.0361,22.12,59,59,0,US,1686087718
543,ambovombe,-25.1667,46.0833,20.62,91,91,0,MG,1686087725
544,tongchuanshi,35.0806,109.0897,20.65,43,43,100,CN,1686087725
545,molochnoye,59.2917,39.6787,6.9,71,71,72,RU,1686087725
546,bamako,12.65,-8.0,31.23,58,58,20,ML,1686087725
547,parauapebas,-6.0675,-49.9022,25.99,83,83,0,BR,1686087522
548,oamaru,-45.0784,170.9801,6.24,76,76,77,NZ,1686087726
549,mae hong son,19.3003,97.9685,24.41,99,99,100,TH,1686087726
550,qui nhon,13.7667,109.2333,26.85,79,79,98,VN,1686087726
551,kailua-kona,19.6406,-155.9956,28.49,71,71,20,US,1686087434
552,luanda,-8.8368,13.2343,24.0,92,92,75,AO,1686087726
553,skurup,55.4784,13.5019,14.67,76,76,0,SE,1686087726
554,abepura,-2.6333,140.5833,24.45,88,88,20,ID,1686087726
555,nanchang,28.6833,115.8833,21.94,91,91,6,CN,1686087727
556,ola,59.5833,151.2833,13.97,68,68,86,RU,1686087727
557,glencoe,-28.1783,30.147,11.07,35,35,0,ZA,1686087727
558,cadale,2.7603,46.3222,27.21,77,77,80,SO,1686087727
559,khovd,48.0056,91.6419,18.96,35,35,5,MN,1686087727
560,mkushi,-13.6202,29.3939,14.93,56,56,0,ZM,1686087727
561,keetmanshoop,-26.5833,18.1333,14.51,14,14,0,NA,1686087727
562,kindia,10.0569,-12.8658,23.69,91,91,47,GN,1686087728
563,tuy hoa,13.0833,109.3,26.05,81,81,99,VN,1686087728
564,jinchang,38.4953,102.1739,17.17,30,30,64,CN,1686087728
565,raton,36.9034,-104.4391,22.19,79,79,73,US,1686087728
566,smithers,54.7804,-127.1743,17.18,39,39,20,CA,1686087728
567,andovoranto,-18.95,49.1,20.77,94,94,29,MG,1686087728
